SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,971123,971123
meylvvmsdp06a,9712340,9712349
meylvvmsdp06a,9713340,9713349
meylvvmsdp06a,44000000,44000099
meylvvmsdp06a,44000100,44000199
meylvvmsdp06a,44000200,44000299
meylvvmsdp06a,44000300,44000399
meylvvmsdp06a,44000400,44000499
meylvvmsdp06a,44000500,44000599
meylvvmsdp06a,44000600,44000699
meylvvmsdp06a,44000700,44000799
meylvvmsdp06a,44000800,44000899
meylvvmsdp06a,44000900,44000999
meylvvmsdp06a,44001000,44001099
meylvvmsdp06a,44001100,44001199
meylvvmsdp06a,44001200,44001299
meylvvmsdp06a,44001300,44001399
meylvvmsdp06a,44001400,44001499
meylvvmsdp06a,44001500,44001599
meylvvmsdp06a,44001600,44001699
meylvvmsdp06a,44001700,44001799
meylvvmsdp06a,44001800,44001899
meylvvmsdp06a,44001900,44001999
meylvvmsdp06a,44002000,44002099
meylvvmsdp06a,44002100,44002199
meylvvmsdp06a,44002200,44002299
meylvvmsdp06a,44002300,44002399
meylvvmsdp06a,44002400,44002499
meylvvmsdp06a,44002500,44002599
meylvvmsdp06a,44002600,44002699
meylvvmsdp06a,44002700,44002799
meylvvmsdp06a,44002800,44002899
meylvvmsdp06a,44002900,44002999
meylvvmsdp06a,44003000,44003099
meylvvmsdp06a,44003100,44003199
meylvvmsdp06a,44003200,44003299
meylvvmsdp06a,44003300,44003399
meylvvmsdp06a,44003400,44003499
meylvvmsdp06a,44003500,44003599
meylvvmsdp06a,44003600,44003699
meylvvmsdp06a,44003700,44003799
meylvvmsdp06a,44003800,44003899
meylvvmsdp06a,44003900,44003999
meylvvmsdp06a,44004000,44004099
meylvvmsdp06a,44004100,44004199
meylvvmsdp06a,44004200,44004299
meylvvmsdp06a,44004300,44004399
meylvvmsdp06a,44004400,44004499
meylvvmsdp06a,44004500,44004599
meylvvmsdp06a,44004600,44004699
meylvvmsdp06a,44004700,44004799
meylvvmsdp06a,44004800,44004899
meylvvmsdp06a,44004900,44004999
meylvvmsdp06a,44005000,44005099
meylvvmsdp06a,44005100,44005199
