BALANCE_TYPE_NAME,BT_ID,SOURCE_CNT,SOURCE_VAL,DISCARDED_CNT,DISCARDED_VAL,BT-CONDITION,CONDITIONAL_SOURCE_CNT,CONDITIONAL_SOURCE_VAL,CONDITIONAL_DISCARDED_CNT,CONDITIONAL_DISCARDED_VAL,TRACK_EXTRA,DISCARDED_REMARK,BT_UNIT_TYPE,SOURCE_NEGATIVE_BALANCE,DISCARDED_NEGATIVE_BALANCE
_pc_DataBndl5GBRec,3220,16,49,0,0,3220:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_DataBndl5GBRec,3220,16,49,0,0,3220:or:3#4#5#6:::;,16,49,0,0,,,State,0,0
Hybrid_Flexi_Min_2,3222,1099,199594516,0,0,3222:>=:-99999999:::;,1099,199594516,0,0,,,Time,0,0
Hybrid_Flexi_Data_2,3223,1100,2592599857,1,0,3223:>=:-99999999:::;,1100,2592599313,1,-544,,Balance_Type match condition failed-1;,Data,0,0
Hybrid_Nat_Min_2,3224,1232,459881484,0,0,3224:>=:-99999999:::;,1232,459881484,0,0,,,Time,0,0
Hybrid_Nat_Data_2,3225,1232,2772084993,0,0,3225:>=:-99999999:::;,1232,2772084993,0,0,,,Data,0,0
DlyBndl1,3226,14724,569745664,5179,130692352,3226:>=:-99999999:::;,14724,453858816,5179,14919296,;5004-1137;,Balance_Type match condition failed-915;Balance_Type expired-4263;Subscriber relation missing-1;,Data,-113792,0
DlyBndl2,3227,15984,1361282816,6653,292497792,3227:>=:-99999999:::;,15984,1149545824,6653,80903616,;5005-971;,Balance_Type match condition failed-1784;Balance_Type expired-4869;,Data,-142816,0
DlyBndl3,3228,10625,679507936,3668,150559680,3228:>=:-99999999:::;,10625,558523936,3668,29575680,;5006-787;,Balance_Type match condition failed-654;Balance_Type expired-3014;,Data,0,0
DlyType,3229,56066,104677,32439,59777,3229:=:2:::;,20180,40360,11557,23114,,Balance_Type match condition failed-31136;Balance_Type expired-1302;Subscriber relation missing-1;,Units,0,0
DlyType,3229,56066,104677,32439,59777,3229:=:1:::;,18597,18597,9918,9918,,Balance_Type match condition failed-31136;Balance_Type expired-1302;Subscriber relation missing-1;,Units,0,0
DlyType,3229,56066,104677,32439,59777,3229:=:3:::;,15240,45720,8915,26745,,Balance_Type match condition failed-31136;Balance_Type expired-1302;Subscriber relation missing-1;,Units,0,0
more data highspeed,780,117,2682379007,55,0,780:>=:1:::;,62,2682379007,0,0,,Balance_Type match condition failed-42;Balance_Type expired-13;,Cash,0,0
MBB10GBDiscount,740,14,0,14,0,740:::::;,14,0,14,0,,Balance_Type Ignored-14;,Cash,0,0
Srv-PassportActive,700,4532,4460,73,1,700:>=:1:::;,4460,4460,1,1,,Service class Ignored-1;Balance_Type match condition failed-72;,Units,0,0
LifeTimePAYG,435,166581,3569929349,131434,0,435:>=:1:::;,35147,3569929349,0,0,,Balance_Type match condition failed-131432;Balance_Type expired-2;,Cash,0,0
_pc_PAYGLifeTimeRenewal,436,791961,2395961,665,485,436:or:3#4#5#6#7#8#9:::;,791301,2395503,5,27,,Periodic Charge is not active-534;Balance_Type expired-131;,State,0,0
_pc_AnnualPromoRenewal,437,2079,9973,2079,9973,437:::::;,2079,9973,2079,9973,,Balance_Type Ignored-2079;,State,0,0
Combined Eligibility Tracker,438,15,27,15,27,438:::::;,15,27,15,27,,Balance_Type Ignored-15;,Units,0,0
Promo SMS ON OFF,1692,943,932,11,0,1692:>=:1:::;,932,932,0,0,,Balance_Type match condition failed-11;,Units,0,0
IDD SMS Counter,1693,52595,95862,35002,63242,1693:>=:0:::;,52595,95862,35002,63242,,Balance_Type expired-35000;Subscriber relation missing-2;,Units,0,0
_pc_MicroData_PC,1653,4661,15625,2776,4315,1653:or:3#4#5#6:::;,1890,11340,5,30,,Periodic Charge is not active-2677;Balance_Type expired-99;,State,0,0
_pc_MicroData_PC,1653,4661,15625,2776,4315,1653:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-2677;Balance_Type expired-99;,State,0,0
Micro NatMobMinutes,1613,50531,0,50531,0,1613:>=:1:::;,0,0,0,0,,Service class Ignored-1;Balance_Type match condition failed-50530;,Time,0,0
Blacklist Customer529,1381,202363,189106,202363,189106,1381:::::;,202363,189106,202363,189106,,Balance_Type Ignored-202363;,Units,0,0
Micro Data,1614,1603062,472773556,1601106,5107816,1614:>=:0:::;,1441730,472773556,1439774,5107816,;353-72;,Service class Ignored-28;Lifecycle lookup mismatch-1;Balance_Type match condition failed-1601033;Balance_Type expired-39;Subscriber relation missing-5;,Cash,-312812,0
Pepsi SMS,1300,22,0,22,0,1300:::::;,22,0,22,0,,Balance_Type Ignored-22;,Units,0,0
Data Gift,1382,3,0,3,0,1382:::::;,3,0,3,0,,Balance_Type Ignored-3;,Units,0,0
Micro IDD,1615,53653,0,53653,0,1615:>=:1:::;,0,0,0,0,,Service class Ignored-2;Balance_Type match condition failed-53651;,Time,0,0
Data Pack CVM,1383,3,0,0,0,1383:>:314572800:::;,0,0,0,0,,,Data,-960,0
Data Pack CVM,1383,3,0,0,0,1383:<=:314572800:::;,3,-960,0,0,,,Data,-960,0
Pepsi Data,1301,471,0,471,0,1301:::::;,471,-558933,471,-558933,,Balance_Type Ignored-471;,Cash,0,0
MicroRechCheck,1616,1668283,1293287,1668283,1293287,1616:::::;,1668283,1293287,1668283,1293287,,Balance_Type Ignored-1668232;Service class Ignored-29;Lifecycle lookup mismatch-17;Subscriber relation missing-5;,Units,0,0
PepsiRechargeBalance,1302,5528,0,5528,0,1302:::::;,5528,0,5528,0,,Balance_Type Ignored-5528;,Units,0,0
DataBundle,1384,20709,0,20709,0,1384:::::;,20709,0,20709,0,,Balance_Type Ignored-20709;,Units,0,0
MicroRechargeValue,1617,2429,40000,2428,20000,1617:>=:1:::;,2,40000,1,20000,,Balance_Type match condition failed-1999;Balance_Type expired-429;,Cash,0,0
DataBundleCount,1385,37120,0,37120,0,1385:::::;,37120,0,37120,0,,Service class Ignored-2;Balance_Type Ignored-37118;,Units,0,0
DataPackOptOut,1386,2199,0,2199,0,1386:::::;,2199,0,2199,0,,Balance_Type Ignored-2199;,Units,0,0
Premier Plan,1387,33431,146985,626,5,1387:=:5:::;,23731,118655,1,5,,Balance_Type match condition failed-625;Subscriber relation missing-1;,Units,0,0
Premier Plan,1387,33431,146985,626,5,1387:=:3:::;,4835,14505,0,0,,Balance_Type match condition failed-625;Subscriber relation missing-1;,Units,0,0
Premier Plan,1387,33431,146985,626,5,1387:=:4:::;,2721,10884,0,0,,Balance_Type match condition failed-625;Subscriber relation missing-1;,Units,0,0
Premier Plan,1387,33431,146985,626,5,1387:=:2:::;,1422,2844,0,0,,Balance_Type match condition failed-625;Subscriber relation missing-1;,Units,0,0
Premier Plan,1387,33431,146985,626,5,1387:=:1:::;,97,97,0,0,,Balance_Type match condition failed-625;Subscriber relation missing-1;,Units,0,0
Monthly1RecFullData,2920,8024,2758822848,1311,14090112,2920:>=:-99999999:::;,8024,3561902464,1311,-3045312,;3004-226;,Balance_Type match condition failed-1067;Balance_Type expired-244;,Data,-1356576,0
Monthly2RecFullData,2921,21932,17286809184,2550,80152864,2921:>=:-99999999:::;,21932,21452992992,2550,55105184,;3005-604;,Balance_Type match condition failed-2056;Balance_Type expired-490;Subscriber relation missing-4;,Data,-1523520,0
Monthly3RecFullData,2922,12317,21985495200,1161,162606144,2922:>=:-99999999:::;,12317,27297644672,1161,145673536,;3006-412;,Balance_Type match condition failed-904;Balance_Type expired-256;Subscriber relation missing-1;,Data,-1100512,0
Monthly4RecFullData,2923,8267,30296730304,760,134219360,2923:>=:-99999999:::;,8267,37286445312,760,126449568,;3007-270;,Balance_Type match condition failed-613;Balance_Type expired-147;,Data,-237184,0
MonthlyRecSocData,2924,3377,9661046016,3377,9661046016,2924:>=:-99999999:::;,3377,9540485888,3377,9540485888,,Balance_Type match condition failed-3241;Balance_Type expired-136;,Data,0,0
HardCap CUGMin AddOn2,2692,8118,483862369200,1,59661000,2692:>=:-99999999:::;,8118,483862369200,1,59661000,;1030-21;,Subscriber relation missing-1;,Time,0,0
ComboGrace,2925,530194,161317,530194,161317,2925:::::;,530194,149029,530194,149029,,Balance_Type Ignored-530193;Subscriber relation missing-1;,Units,0,0
_pc_C_HardCapBCC10KMins_PC,2693,8097,48582,1,6,2693:or:3#4#5#6:::;,8097,48582,1,6,,Subscriber relation missing-1;,State,0,0
_pc_C_HardCapBCC10KMins_PC,2693,8097,48582,1,6,2693:or:7#8#9:::;,0,0,0,0,,Subscriber relation missing-1;,State,0,0
ComboGraceOut,2926,308,308,308,308,2926:::::;,308,308,308,308,,Balance_Type Ignored-308;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:6:::;,8200,49200,932,5592,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:3:::;,7871,23613,1338,4014,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:1:::;,1109,1109,473,473,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:5:::;,12305,61525,1536,7680,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:4:::;,22079,88316,3211,12844,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ComboRecServ,2927,625830,15752443,581454,15558679,2927:=:2:::;,448,896,146,292,,Lifecycle lookup mismatch-1;Balance_Type match condition failed-581440;Balance_Type expired-7;Subscriber relation missing-6;,Units,0,0
ServiceCount,2928,614,614,473,473,2928:>=:1:::;,614,614,473,473,,Lifecycle lookup mismatch-1;Balance_Type expired-472;,Units,0,0
_pc_DailyRecCombo1,2929,1413,4377,924,1443,2929:or:3#4#5#6:::;,593,3558,104,624,,Periodic Charge is not active-818;Balance_Type match condition failed-103;Balance_Type expired-3;,State,0,0
Data WH,2072,118,40339036,32,0,2072:>=:1:::;PAYGDataWHSP-=-1,85,39290460,0,0,,Balance_Type match condition failed-6;Balance_Type expired-26;,Data,0,0
Data WH,2072,118,40339036,32,0,2072:>=:1:::;PAYGDataWH-=-1,1,1048576,0,0,,Balance_Type match condition failed-6;Balance_Type expired-26;,Data,0,0
BCP CUG Minutes,2032,67511,3261739303400,200,4607587500,2032:>=:-99999999:::;,67511,3290740496800,200,4607587500,;2532-4352;,Balance_Type match condition failed-96;Balance_Type expired-99;Subscriber relation missing-5;,Time,0,0
BCP Flexi SMS,2033,2120,142381,39,142,2033:>=:-99999999:::;,2120,148337,39,142,;2539-916;,Balance_Type match condition failed-35;Balance_Type expired-4;,Units,0,0
_pc_BCP2NatTopUp9_PC,2034,166,986,2,2,2034:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-2;,State,0,0
_pc_BCP2NatTopUp9_PC,2034,166,986,2,2,2034:or:3#4#5#6:::;,164,984,0,0,,Periodic Charge is not active-2;,State,0,0
_pc_BCP2NatTopUp10_PC,2035,1,6,0,0,2035:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_BCP2NatTopUp10_PC,2035,1,6,0,0,2035:or:3#4#5#6:::;,1,6,0,0,,,State,0,0
_pc_BCP2IDDTopUp10_PC,2037,1,6,0,0,2037:or:3#4#5#6:::;,1,6,0,0,,,State,0,0
_pc_BCP2IDDTopUp10_PC,2037,1,6,0,0,2037:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_BCP2DataTopUp9_PC,2038,127,757,1,1,2038:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-1;,State,0,0
_pc_BCP2DataTopUp9_PC,2038,127,757,1,1,2038:or:3#4#5#6:::;,126,756,0,0,,Periodic Charge is not active-1;,State,0,0
_pc_BCP2DataTopUp10_PC,2039,1,6,0,0,2039:or:3#4#5#6:::;,1,6,0,0,,,State,0,0
_pc_BCP2DataTopUp10_PC,2039,1,6,0,0,2039:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_AloBndl1Grant_PC,3650,11483,68543,11483,68543,3650:::::;,0,0,0,0,,Balance_Type expired-2;Balance_Type lookup failed-11481;,State,0,0
NewSoftDeactStatus,3341,3,3,0,0,3341:>=:1:::;,3,3,0,0,,,Units,0,0
BronzeDailyActive,3300,57110,50526,57110,50526,3300:or:2#3:::;,428,955,428,955,,NetworkBundle specific BT ignored-428;Balance_Type match condition failed-55512;Balance_Type expired-1170;,Units,0,0
BronzeDailyActive,3300,57110,50526,57110,50526,3300:=:1:::;,49571,49571,49571,49571,,NetworkBundle specific BT ignored-428;Balance_Type match condition failed-55512;Balance_Type expired-1170;,Units,0,0
_pc_Mercury7D_PC,3302,3037,11811,849,1629,3302:or:3#4#5#6:::;,2488,11271,300,1089,,Periodic Charge is not active-540;Service class Ignored-1;Balance_Type match condition failed-299;Balance_Type expired-9;,State,0,0
_pc_Mercury7D_PC,3302,3037,11811,849,1629,3302:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-540;Service class Ignored-1;Balance_Type match condition failed-299;Balance_Type expired-9;,State,0,0
_pc_Mercury1D_PC,3303,2423,10080,943,1200,3303:or:3#4#5#6:::;,1532,9192,52,312,,Periodic Charge is not active-887;Service class Ignored-1;Balance_Type match condition failed-52;Balance_Type expired-3;,State,0,0
_pc_Mercury1D_PC,3303,2423,10080,943,1200,3303:or:7#8#9:::;,0,0,0,0,,Periodic Charge is not active-887;Service class Ignored-1;Balance_Type match condition failed-52;Balance_Type expired-3;,State,0,0
StartStopStatePH2,3304,6775,39533,6754,39472,3304:or:1#2#3:::;,21,61,0,0,,Balance_Type match condition failed-6754;,Units,0,0
RRMCMessageIVR,3387,1187249,1184648,1187249,1184648,3387:::::;,1187249,1184648,1187249,1184648,,Service class Ignored-1;Balance_Type Ignored-1187246;Lifecycle lookup mismatch-2;,Units,0,0
CreditFlexiCampNew,3072,56,21000,55,0,3072:>=:1:::;,1,21000,0,0,,Balance_Type expired-55;,Cash,0,0
StartStopCountPH2,3305,77,131,54,92,3305:or:1#2#3#4#5:::;,77,131,54,92,;5069-15;,Balance_Type expired-54;,Units,0,0
Monthly1Off1,3388,331,0,331,0,3388:>=:1:::;,0,0,0,0,,Balance_Type match condition failed-326;Balance_Type expired-5;,Data,0,0
StartStopTimePH2,3306,165,732000,135,84000,3306:>=:-99999999:::;,165,618000,135,-30000,;5069-10;,Balance_Type match condition failed-87;Balance_Type expired-48;,Time,0,0
SpecialGrace,3032,4642,193,4642,193,3032:::::;,4642,193,4642,193,,Balance_Type Ignored-4642;,Units,0,0
AddOnCtrl,3389,2289,2290,0,0,3389:>=:1:::;,2289,2290,0,0,,,Units,0,0
Dunning Active,3074,13,16093689,1,0,3074:>=:1:::;,12,16093689,0,0,,Balance_Type match condition failed-1;,Units,0,0
HardCap FlexiMin,3075,1,0,1,0,3075:>=:-99999999:::;,1,0,1,0,,Balance_Type match condition failed-1;,Time,0,0
_pc_StartStopAutoStopPH2_PC,3308,6776,6921,6752,6777,3308:or:3#4#5#6:::;,22,126,0,0,;91-2;,Periodic Charge is not active-6749;Balance_Type match condition failed-1;Balance_Type expired-2;,State,0,0
_pc_StartStopAutoStopPH2_PC,3308,6776,6921,6752,6777,3308:or:7#8#9:::;,2,18,0,0,;91-2;,Periodic Charge is not active-6749;Balance_Type match condition failed-1;Balance_Type expired-2;,State,0,0
SplRecSocServRetry,3034,120934,188311,120934,188311,3034:=:0:::;,120870,0,120870,0,,NetworkBundle specific BT ignored-52;Lifecycle lookup mismatch-1;Balance_Type match condition failed-120880;Subscriber relation missing-1;,Units,0,0
SplRecSocServRetry,3034,120934,188311,120934,188311,3034:or:1#2#3:::;,52,135,52,135,,NetworkBundle specific BT ignored-52;Lifecycle lookup mismatch-1;Balance_Type match condition failed-120880;Subscriber relation missing-1;,Units,0,0
HardCap FlexiSMS,3076,50,4521,16,0,3076:>=:-99999999:::;,50,4521,16,0,,Balance_Type match condition failed-16;,Units,0,0
_pc_BronzeDaily_PC,3309,560057,678865,537145,541393,3309:or:3#4#5#6:::;,22925,137550,13,78,,Periodic Charge is not active-537127;Balance_Type match condition failed-2;Balance_Type expired-16;,State,0,0
SplSocServDeactStatus,3035,315317,4039948,315317,4039948,3035:::::;,315317,4039948,315317,4039948,,Balance_Type Ignored-315315;Subscriber relation missing-2;,Units,0,0
_pc_HardCapAlphaIN50_PC,3077,3,18,0,0,3077:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_HardCapAlphaIN50_PC,3077,3,18,0,0,3077:or:3#4#5#6:::;,3,18,0,0,,,State,0,0
SplRecSocDeactServRetry,3036,95918,967787,95918,967787,3036:or:1#2#3:::;,1536,4563,1536,4563,,NetworkBundle specific BT ignored-1536;Lifecycle lookup mismatch-1;Balance_Type match condition failed-94380;Balance_Type expired-1;,Units,0,0
_pc_HardCapAlphaIN100_PC,3078,29,174,0,0,3078:or:3#4#5#6:::;,29,174,0,0,,,State,0,0
_pc_HardCapAlphaIN100_PC,3078,29,174,0,0,3078:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_MonthlyRecSpecial1,3037,5154,5157,5154,5157,3037:or:3#4#5#6:::;,2,6,2,6,,Periodic Charge is not active-5152;Balance_Type match condition failed-2;,State,0,0
_pc_MonthlyRecSpecial1,3037,5154,5157,5154,5157,3037:or:1#2:::;,5151,5151,5151,5151,,Periodic Charge is not active-5152;Balance_Type match condition failed-2;,State,0,0
MnpLoyaltyEligibility,860,369,0,369,0,860:::::;,369,0,369,0,,Balance_Type Ignored-369;,Units,0,0
_pc_HardCapAlphaIN200_PC,3079,2,12,0,0,3079:or:3#4#5#6:::;,2,12,0,0,,,State,0,0
_pc_HardCapAlphaIN200_PC,3079,2,12,0,0,3079:or:7#8#9:::;,0,0,0,0,,,State,0,0
_pc_GraceSpecial1,3038,4639,4639,0,0,3038:or:3#4#5#6#7#8#9:::;,0,0,0,0,,,State,0,0
_pc_GraceSpecial1,3038,4639,4639,0,0,3038:or:1#2:::;,4639,4639,0,0,,,State,0,0
_pc_SplRecSocServPC1,3039,28601,28595,28601,28595,3039:or:3#4#5#6:::;,0,0,0,0,,Periodic Charge is not active-28584;Balance_Type expired-16;Subscriber relation missing-1;,State,0,0
