BALANCE_TYPE_NAME,BT_ID,PROFILE_TAG,CONDITION,SOURCE_CNT,DISCARDED_CNT,DISCARDED_REMARK
_pc_NFCNOL_PC,1243,,1243:or:3#4#5#6:::;,23,23,Balance_Type match condition failed-23;
Corporate Plan,1269,,1269:=:1:::;,61088,18,Lifecycle lookup mismatch-18;
_pc_ConsBISSocialControl_PC,1085,,1085:or:3#4#5#6:::;,104,100,Balance_Type match condition failed-100;
MercuryState,3011,,3011:=:5:::;,729,729,Balance_Type match condition failed-712;Balance_Type expired-17;
_pc_BCP2DataTopUp10_PC,2039,,2039:or:3#4#5#6:::;,1,0,
_pc_BCP2IDDTopUp11_PC,2996,,2996:or:3#4#5#6:::;,1,0,
_pc_GCCDailyBundle,2318,,2318:or:3#4#5#6:::;,8,0,
_pc_IDDRateCutters_PC,2872,,2872:or:3#4#5#6:::;,3770,158,Balance_Type match condition failed-158;
_pc_0100 AED Auto Topup,1106,,1106:or:3#4#5#6:::;,332,0,
_pc_BCP150FLVRNew_PC,2061,,2061:or:3#4#5#6:::;,2,0,
,,ManRenDateLess1Y,ManRenDateLess1Y:>=:migdate::or:214#196:;,49254,0,
_pc_DailyRecData1,3238,,3238:or:3#4#5#6:::;,23647,20,Balance_Type match condition failed-2;Balance_Type expired-18;
_pc_MonthlyRecSpecial1,3037,,3037:or:3#4#5#6:::;,2,2,Balance_Type match condition failed-2;
_pc_BCPNatCUG109_PC,2053,,2053:or:3#4#5#6:::;,51443,4,Balance_Type expired-1;Subscriber relation missing-3;
_pc_HardCapBMP200_PC,2441,,2441:or:3#4#5#6:::;,141,0,
_pc_0050 AED Auto Topup,519,,519:or:3#4#5#6:::;,419,0,
AllValueFlexiDaily,2777,,2777:>=:-99999999:::;,32,32,Balance_Type match condition failed-25;Balance_Type expired-7;
_pc_C_HardCapBCC100Mins_PC,2570,,2570:or:3#4#5#6:::;,3,0,
_pc_500 AED Auto Topup,1127,,1127:or:3#4#5#6:::;,1,0,
_pc_0080 AED Auto Topup,1105,,1105:or:3#4#5#6:::;,41,0,
_pc_PCOneOffMnthReset,2023,,2023:or:3#4#5#6:::;,78712,78704,Balance_Type match condition failed-78701;Balance_Type expired-3;
,,NewPPBundle,NewPPBundle:=:Monthly2:P:::;,36,0,
_pc_OneWayFnFWGrace_PC,3454,,3454:or:3#4#5#6#7#8#9:::;,4605,1,Balance_Type expired-1;
_pc_PAYGMetDataBenfit_PC,1487,,1487:or:3#4#5#6:::;PAYGMet-=-1,2,0,
_pc_HotelPrepaidTopUp_PC,3156,,3156:or:3#4#5#6:::;,2,0,
_pc_HardCapAlphaIN200_PC,3079,,3079:or:3#4#5#6:::;,2,0,
_pc_NPP Voice Bundle D1,1470,,1470:or:3#4#5#6:::;,8,0,
_pc_DataBndl2560MBRec,3219,,3219:or:3#4#5#6:::;,395,0,
NewAlo,1512,,1512:=:1:::;,747684,3,Lifecycle lookup mismatch-2;Subscriber relation missing-1;
RRMCState,1832,,1832:=:0:::;,476457,4257,Lifecycle lookup mismatch-1;Balance_Type expired-4240;Subscriber relation missing-16;
