CUG_ID,SRC_COUNT,DISCARDED_COUNT,DISCARDED_REASON
6132462,3,0,
6159928,1,0,
589408,1,0,
43333,5,0,
44654,15,0,
6159929,5,0,
6158608,11,0,
6161820,1,0,
6132464,2,0,
592621,2,0,
6160500,1,0,
592622,2,0,
43336,22,0,
564588,2,0,
563267,1,0,
43337,115,0,
45979,125,0,
6159631,1,0,
6132468,2,0,
6160503,6,0,
6161824,1,0,
593960,14,0,
6161825,1,0,
6101907,16,0,
6159633,2,0,
44360,1,0,
593963,1,0,
6159634,1,0,
6161827,2,0,
591307,3,0,
564291,5,0,
592629,9,0,
6161829,5,0,
591309,1,0,
6159636,40,0,
43042,192,0,
45684,2,0,
6133492,4,0,
6133493,1,0,
6159638,6,0,
533732,10,0,
6158318,1,0,
44365,59,0,
6162850,13,0,
589119,3,0,
564296,1,0,
6161530,6,0,
45687,61,0,
6160210,7,0,
6160211,2,0,
6102935,13,0,
6161532,25,0,
6162853,3,0,
6101615,2,0,
592334,9,0,
44369,9,0,
6102936,8,0,
564299,4,0,
6162855,1,0,
593670,1,0,
6160213,37,0,
6133499,1,0,
532417,43,0,
533738,5,0,
6132179,1,0,
6161535,1,0,
6162856,1,0,
6160214,4,0,
592336,5,0,
593673,2,0,
592338,2,0,
6160216,1,0,
594994,6,0,
45392,1,0,
6159345,1,0,
6161538,1,0,
6159346,1,0,
6103960,1,0,
6161539,4,0,
6160218,16,0,
591019,7,0,
45393,3,0,
6158026,7,0,
6103962,2,0,
6158027,2,0,
44074,3,0,
593678,7,0,
594999,3,0,
592041,1,0,
6162561,6,0,
559603,2,0,
534765,15,0,
593679,5,0,
534766,1,0,
44077,6,0,
6161241,12,0,
559604,3,0,
45398,1,0,
6159050,1,0,
6101325,3,0,
44079,43,0,
534769,1,0,
6159051,1,0,
6162565,1,0,
6159052,1,0,
6162566,5,0,
593381,5,0,
592046,10,0,
559609,1,0,
592047,2,0,
593382,7,0,
6162568,1,0,
6101329,6,0,
593384,1,0,
535791,1,0,
562822,1,0,
6159055,3,0,
533150,1,0,
6161249,2,0,
6159056,4,0,
6102350,1,0,
6159057,2,0,
6129831,4,0,
6103672,133,0,
6102352,1,0,
534474,1,0,
593388,6,0,
6162270,6,0,
6129832,2,0,
559313,1,0,
6102353,2,0,
533155,9,0,
6102355,1,0,
533156,2,0,
6101034,4,0,
6103676,5,0,
559316,2,0,
534478,18,0,
535799,76,0,
533158,54,0,
6102357,11,0,
6102358,5,0,
533159,30,0,
6128200,18,0,
6162276,4,0,
559319,3,0,
6162277,2,0,
