PROFILE_TAG_NAME,SOURCE_CNT,DISCARDED_CNT,PT-CONDITION,CONDITIONAL_SOURCE_CNT,CONDITIONAL_DISCARDED_CNT,DISCARDED_REMARK,TRACK_GRACE
guiBalAdjVal,280,2,guiBalAdjVal:!=:EMPTY::::;,280,2,Service class Ignored-1;Lifecycle lookup mismatch-1;,
BlckBrryActCnfrmDate,14236,5,BlckBrryActCnfrmDate:!=:EMPTY::::;,14236,5,Service class Ignored-4;Subscriber relation missing-1;,
CVMCounter,570664,285157,CVMCounter:!=:EMPTY::::;,285332,6,Profile Tag match condition Failed-285145;Service class Ignored-12;,
CVMCounter,570664,285157,CVMCounter:>:0::::;LastChangeDateExpiry->=-MIGDATE,196,15,Profile Tag match condition Failed-285145;Service class Ignored-12;,
AnniversarytopuppromoEnd,142,0,AnniversarytopuppromoEnd:!=:EMPTY::::;,142,0,,
BlckBrryAct,6074,6074,BlckBrryAct:=:T::::;BlckBrryCnfdAct-=-F,0,0,Profile Tag match condition Failed-6071;Service class Ignored-3;,
avmPin,430812,140,avmPin:!=:EMPTY::::;,430812,140,Service class Ignored-47;Lifecycle lookup mismatch-25;Subscriber relation missing-68;,
ManRenDateLess1Y,643898,583934,ManRenDateLess1Y:>=:migdate::=:255:;,10710,0,Profile Tag match condition Failed-583925;Service class Ignored-2;Subscriber relation missing-7;,
ManRenDateLess1Y,643898,583934,ManRenDateLess1Y:>=:migdate::or:214#196:;,49254,0,Profile Tag match condition Failed-583925;Service class Ignored-2;Subscriber relation missing-7;,
BstrVINConfirmDate,39311,19,BstrVINConfirmDate:!=:EMPTY::::;,39311,19,Service class Ignored-17;Lifecycle lookup mismatch-2;,
entBsnssCrclActv,866746,2943,entBsnssCrclActv:=:T::::;,864023,220,Profile Tag match condition Failed-2715;Service class Ignored-36;Lifecycle lookup mismatch-25;Subscriber relation missing-167;,
cbInt,671,42,cbInt:!=:EMPTY::::;,671,42,Service class Ignored-40;Lifecycle lookup mismatch-2;,
callwait,60609,2079,callwait:!=:EMPTY::::;,60609,2079,SNA subs profiletag ignored-1;Service class Ignored-2;Lifecycle lookup mismatch-2076;,
cbActReqDate,9,3,cbActReqDate:!=:EMPTY::::;,9,3,Service class Ignored-2;Lifecycle lookup mismatch-1;,
NPPBISDAPMod,20,0,NPPBISDAPMod:=:T::::;,20,0,,
IDDCutRateAct,516038,2853,IDDCutRateAct:=:T::::;,513195,10,Profile Tag match condition Failed-2843;Service class Ignored-10;,
BstrVINDeActConfDate,1178,1,BstrVINDeActConfDate:!=:EMPTY::::;,1178,1,Service class Ignored-1;,
NewTopUpValue,61,0,NewTopUpValue:!=:EMPTY::::;,61,0,,
PokeSMSOptoutDate,15486,1,PokeSMSOptoutDate:!=:EMPTY::::;,15486,1,Service class Ignored-1;,
BstrVNNDeActConfDate,508,0,BstrVNNDeActConfDate:!=:EMPTY::::;,508,0,,
BstrVINRecur,5513,5512,BstrVINRecur:=:T::::;BstrVceIntNumTree-!=-EMPTY#BstrVceIntNumExp->=-MIGDATE,2,1,Profile Tag match condition Failed-5509;Service class Ignored-3;,
BstrVINRecur,5513,5512,BstrVINRecur:=:F::::;BstrVceIntNumTree-!=-EMPTY#BstrVceIntNumExp->=-MIGDATE#BstrVceIntNumAct-=-T,0,0,Profile Tag match condition Failed-5509;Service class Ignored-3;,
BstrVINActReqDate,69158,22,BstrVINActReqDate:!=:EMPTY::::;,69158,22,Service class Ignored-20;Lifecycle lookup mismatch-2;,
BronzeMPromoDeactDate,203421,2,BronzeMPromoDeactDate:!=:EMPTY::::;,203421,2,Subscriber relation missing-2;,
BlckBrryDeActReqDate,246404,16,BlckBrryDeActReqDate:!=:EMPTY::::;,246404,16,Service class Ignored-13;Subscriber relation missing-3;,
cfData,32,2,cfData:!=:EMPTY::::;,32,2,Service class Ignored-2;,
NPPBBSocialDAPDeact,83,3,NPPBBSocialDAPDeact:=:T::::;,80,0,Profile Tag match condition Failed-3;,
BlckBrryActReqDate,37832,6,BlckBrryActReqDate:!=:EMPTY::::;,37832,6,Service class Ignored-5;Subscriber relation missing-1;,
IDD2DeactDate,59982,0,IDD2DeactDate:!=:EMPTY::::;,59982,0,,
PAYGDataFNL,37433,2,PAYGDataFNL:!=:EMPTY::::;,37433,2,Lifecycle lookup mismatch-2;,
odbIncom,29700,1085,odbIncom:!=:EMPTY::::;,29700,1085,Service class Ignored-47;Lifecycle lookup mismatch-1038;,
cfFax,32,2,cfFax:!=:EMPTY::::;,32,2,Service class Ignored-2;,
