RATEPLAN_NAME,RATE_PLAN_ID-STATE,SOURCE_CNT,DISCARDED_CNT,DISCARDED_REMARK
du FUT Vanilla Data,136-P,1,1,Service class Ignored-1;
du FUT Vanilla,110-P,12,12,Service class Ignored-12;
Du TEST 800,394-A,1,1,Service class Ignored-1;
Tourist SIM Extra,561-F,68,0,
CS POST C,109-F,225,197,Lifecycle lookup mismatch-197;
Du Basic 900,456-A,2,2,Service class Ignored-2;
du FUT Vanilla Data,136-T,1,1,Service class Ignored-1;
du FUT Vanilla,110-S,2,2,Service class Ignored-2;
du FUT Vanilla,110-T,10,10,Service class Ignored-10;
Visitor Mobile Line,5-P,52,52,Service class Ignored-52;
Du Basic 900,456-F,1,1,Service class Ignored-1;
Home Cam Pay as you Go,195-S,2,2,Service class Ignored-2;
Home Cam Pay as you Go,195-T,1,1,Service class Ignored-1;
Visitor Mobile Line,5-S,31,31,Service class Ignored-31;
Visitor Mobile Line,5-T,214,214,Service class Ignored-214;
Test Ionut and Marcel,105-A,4,4,Service class Ignored-4;
Tourist SIM Extra,561-P,1381,6,Lifecycle lookup mismatch-6;
CS POST C,109-P,38971,0,
Test Ionut and Marcel,105-D,12,12,Service class Ignored-12;
Tourist SIM Extra,561-S,1056710,29,Subscriber relation missing-29;
CS POST C,109-S,3687,0,
CS POST C,109-T,1,0,
Tourist SIM Extra,561-T,532,1,Subscriber relation missing-1;
Test Ionut and Marcel,105-F,2,2,Service class Ignored-2;
Pay as you Go Million,196-A,3136,0,
Pay as you Go Million,196-D,1,0,
Du Basic 900,456-S,5,5,Service class Ignored-5;
Pay as you Go Million,196-F,5,4,Lifecycle lookup mismatch-4;
Test Ionut and Marcel,105-P,6,6,Service class Ignored-6;
Test Ionut and Marcel,105-S,11,11,Service class Ignored-11;
Test Ionut and Marcel,105-T,13,13,Service class Ignored-13;
Visitor Data Line,6-S,2,2,Service class Ignored-2;
Visitor Data Line,6-T,14,14,Service class Ignored-14;
CS Testprod,106-D,2,2,Service class Ignored-2;
Roaming_PT,415-A,4,4,Service class Ignored-4;
Roaming_PT,415-D,15,15,Service class Ignored-15;
Postpaid Consumer,557-A,494514,72,Lifecycle lookup mismatch-1;Subscriber relation missing-71;
Postpaid Consumer,557-F,1,0,
CS Testprod,106-S,1,1,Service class Ignored-1;
CS Testprod,106-T,1,1,Service class Ignored-1;
Business Mobile PostPaid,172-A,1672,0,
Roaming_PT,415-S,4,4,Service class Ignored-4;
du Family Prepaid,193-A,566,1,Lifecycle lookup mismatch-1;
Roaming_PT,415-T,4,4,Service class Ignored-4;
Alo,255-A,858837,0,
MCR,276-A,479726,31,Subscriber relation missing-31;
Alo,255-D,1107,0,
Alo,255-F,706,4,Lifecycle lookup mismatch-4;
Homephone recharge,107-A,63,63,Service class Ignored-63;
Postpaid Consumer,557-S,25,0,
MCR,276-F,31444,0,
Postpaid Consumer,557-T,9,0,
Homephone recharge,107-F,85,85,Service class Ignored-85;
Business Mobile PostPaid,172-P,1,1,Lifecycle lookup mismatch-1;
du Family Prepaid,193-P,11,0,
Alo,255-P,31033,8,Lifecycle lookup mismatch-8;
Business Mobile PostPaid,172-S,261871,1,Subscriber relation missing-1;
