ACCM_ID,TARGET_CNT,TARGET_VALUE_TOTAL
151,2580927,1508262
152,1001608,945026
153,2581069,1539569
154,3,3
31,14496902,0
32,6965708,9233236
35,326901,9798150
52,14496902,289938040
53,140686,206157
54,868592,2852368
55,677937,625443
56,17593,32620
70,14496902,0
57,1397928,1397928
58,824557,958605
71,23010,33638
59,72793,0
72,3,6
74,1,2
75,1028500,0
76,1028500,0
78,714,996
101,125467,125467
99,14496902,14496902
5116,124,174
5117,153,293
161,3,7
26,527089,978363
40,3130,6267050
42,227173,656174
60,72793,0
61,14496902,14099092
62,2581071,119470890
63,14496902,72484510
64,14496902,72484510
68,14496902,0
82,53,53
83,6488,0
5068,13130,27981
5069,23,39
