CUG_ID,TARGET_CUG_CNT
6132462,3
6159928,1
589408,1
43333,5
44654,15
6159929,5
6158608,11
6161820,1
6132464,2
592621,2
6160500,1
592622,2
43336,22
564588,2
563267,1
43337,115
45979,125
6159631,1
6132468,2
6160503,6
6161824,1
593960,14
6161825,1
6101907,16
6159633,2
44360,1
593963,1
6159634,1
6161827,2
591307,3
564291,5
592629,9
6161829,5
591309,1
6159636,40
43042,192
45684,2
6133492,4
6133493,1
6159638,6
533732,10
6158318,1
44365,59
6162850,13
589119,3
564296,1
6161530,6
45687,61
6160210,7
6160211,2
6102935,13
6161532,25
6162853,3
6101615,2
592334,9
44369,9
6102936,8
564299,4
6162855,1
593670,1
6160213,37
6133499,1
532417,43
533738,5
6132179,1
6161535,1
6162856,1
6160214,4
592336,5
593673,2
592338,2
6160216,1
594994,6
45392,1
6159345,1
6161538,1
6159346,1
6103960,1
6161539,4
6160218,16
591019,7
45393,3
6158026,7
6103962,2
6158027,2
44074,3
593678,7
594999,3
592041,1
6162561,6
559603,2
534765,15
593679,5
534766,1
44077,6
6161241,12
559604,3
45398,1
6159050,1
6101325,3
44079,43
534769,1
6159051,1
6162565,1
6159052,1
6162566,5
593381,5
592046,10
559609,1
592047,2
593382,7
6162568,1
6101329,6
593384,1
535791,1
562822,1
6159055,3
533150,1
6161249,2
6159056,4
6102350,1
6159057,2
6129831,4
6103672,133
6102352,1
534474,1
593388,6
6162270,6
6129832,2
559313,1
6102353,2
533155,9
6102355,1
533156,2
6101034,4
6103676,5
559316,2
534478,18
535799,76
533158,54
6102357,11
6102358,5
533159,30
6128200,18
6162276,4
559319,3
6162277,2
6102359,1
6128202,5
6162278,24
6128203,2
593094,38
1,1
593095,1
43924,3
534182,1
6129540,18
6128205,1
559022,5
6128207,1
593099,1
559023,2
6102063,1
6158900,1
6129544,1
559024,2
6131421,249
589703,1
559026,1
534188,17
6158902,13
6130101,2
6130102,1
6103388,5
559027,10
534189,3
6102067,6
564881,40
43630,400
6102069,1
589708,1
564884,2
