DA_ID,TARGET_CNT,TARGET_BALANCE_TOTAL,ADD_DA_CNT,ADD_DA_BALANCE_TOTAL
252506,575,4211546500000,0,0
252521,575,2808401772544000000,0,0
512121,206,1959600095232000000,0,0
360,4689,6038543582208000000,0,0
361,25806,71512259221504000000,0,0
362,247,459884462080000000,6,0
363,1243,49743206400000000,0,0
252601,224,2662140030000,0,0
11,97438,598809382800,0,0
252621,224,1096960638976000000,0,0
30,53,282000000,0,0
31,3207,9520648857600,0,0
18,1065848,39578739530000,0,0
19,137637,813750700000,0,0
33,7064,7519496663100,0,0
34,26921,289031391100,0,0
35,35147,356992934900,0,0
50,447,11081500000,0,0
37,99,226855372000,0,0
38,3,14035319600,0,0
39,275,20750002800,0,0
1,14394286,47104551287500,0,0
2,27507,1541496912200,0,0
254,10582,252129754051,0,0
3,28530,596246787200,0,0
255,12,43719554937012,0,0
256,5245,573844640000,0,0
4,115,11165805700,0,0
257,1,596000000,0,0
271,5,3441000000,0,0
258,1161,180600000000,0,0
6,1242,9956334200,0,0
259,5608,16408413360000,0,0
272,4708,38027187500,0,0
7,4361,554604200,0,0
8,126,232110200,0,0
252706,1099,1995945160000,0,0
1127,138944,10690670000000,0,0
252721,1099,2654822253568000000,0,0
311,4007107,51902857000000,0,0
3014,17364,219171000000,0,0
5116,121,238740000000,0,0
5117,236,876660000000,0,0
351,147718,82233966835479347200,0,0
352,62,281267824964403200,0,0
353,1956,49038307098624000,0,0
113504,807,371611770000,0,0
355,1534,22728269824000000,0,0
356,101095,356868334533632000000,0,0
252801,1232,4598814840000,0,0
359,12048,28126596255744000000,0,0
252821,1232,2838615032832000000,0,0
21,431397,667270268900,0,0
206,9890,242366232400,0,0
22,428317,5311176745000,0,0
208,14,362543800,0,0
25,8403931,19783550100,0,0
26,522006,-790786459700,0,0
40,105,18094000000,0,0
28,1,148700,0,0
41,1139890,4624655500,0,0
113604,1,601000000,0,0
29,1,2000000,0,0
1015,500,57403843100,0,0
43,7875,173306880000000,0,0
241,1,2100000,0,0
44,2013,95026000000,0,0
47,14496902,86269983043500,0,0
48,14496902,47567414327800,0,0
49,66,12026414100,0,0
264,5859,24183962650000,0,0
268,35099,280707844000000,0,0
5068,27734,3621238483700,10693,9623700
302,22457,22457000000,0,0
5069,290,6480234000,260,234000
