OFFER_ID,TARGET_CNT,MASTER_MAPPED_CNT
5109,116,0
703,1256,0
704,162,0
705,220,0
4802,12893,0
4804,1952530,0
4805,3,0
4531,24,0
4532,343,0
4534,24,0
4535,8487,0
4536,82734,0
4538,3,0
4539,3,0
3033,529,0
3034,8939,6232
3035,16,0
3036,5,0
3037,2,0
3038,33,0
3039,4,0
551,370,0
552,52460,0
553,260635,0
554,195030,0
241,1,0
4611,9961957,0
4612,140686,98314
4613,791296,0
4614,49254,0
4615,10710,0
206,9890,0
4301,182,0
4617,4942,0
208,14,0
1150,57,0
1110,1397819,0
1152,3,0
1153,1,0
1157,4459,0
1158,932,0
1070,784,784
5070,79,0
1030,8117,21
5071,87,27
1031,5,0
1032,2,0
5032,126,0
5033,1,0
5034,1,0
1076,1,0
1035,119,0
5076,1483,0
1036,249,0
5077,54,0
5036,180,0
1077,1,0
1037,471,0
5078,29,0
5037,6,0
1078,7,0
1079,1,0
1038,109,0
5038,20,0
1039,1,0
361,25806,0
363,1243,1243
2501,7888,0
2543,18,18
2502,342,0
2544,2,0
2503,141,0
2545,2,0
2504,86,0
2505,13,1
5114,85,0
2506,444,36
5115,1,0
2507,726,43
5116,124,0
2508,992,43
5117,238,0
2509,12431,0
91,189300,0
92,1331,0
53,7086358,0
58,30423,0
59,4322,0
4501,747679,0
4542,14519,0
4503,60162,0
4504,12,0
4545,67009,0
4505,35518,0
4546,5544,0
4506,863803,0
4507,56623,0
4509,4,0
2001,25418,0
3041,11,8
3001,17324,563
3002,607,118
3003,292,50
3004,7172,639
3005,20508,1640
3006,11689,920
3007,7906,638
3008,5097,27
3009,750,11
4622,6488,0
254,10582,0
255,12,0
256,5245,0
257,1,0
258,1161,0
259,5608,0
1160,132180,0
4002,628,0
1161,13315,0
4003,1239,0
1162,23333,0
4004,33688,0
1163,2,0
4005,141,0
4006,4,0
4007,14,0
4008,66,0
4009,2754,0
1127,138944,0
1129,1,0
1080,1,0
5081,582,0
1081,3427,0
1040,1,0
5082,13,0
1082,15561,0
5042,1,0
5083,421,0
5001,10048,1206
1083,149,0
1001,839128,0
5084,3,0
5043,3,0
5002,4572,505
1084,1,0
1002,3612,0
5085,16,0
5003,4714,550
1085,277,0
1003,352496,0
5086,3,0
5045,7,0
5004,9816,1137
1086,544,0
1004,18,0
5046,64,0
5005,9594,971
1087,10,0
1046,702,0
1005,76654,0
5047,55,0
5006,7112,787
1088,2634,2634
1047,3887,0
1006,116108,0
5048,25,22
5007,23740,828
1089,164,0
1048,54,54
5049,487,472
5008,563205,1980
1008,39,0
5009,871,0
1009,23,8
6666,1,0
6668,930,331
6000,65989,74
1201,56934,0
2510,349,0
2511,28,0
2512,7,0
2513,3,0
5121,206,0
2514,7,0
2516,29,0
2517,18,0
2519,2,0
60,1199,0
100,14496902,0
4510,61070,0
101,625,0
4511,4517,0
4512,87,0
4513,7242168,0
4514,977,0
4515,341,0
4517,104065,0
4518,37010,0
1322,896,52
4519,2334,0
1323,591,24
1324,1179,50
1325,1081,49
1326,1067,40
1327,254,26
1329,21784,427
3010,104,0
3011,23,0
3012,59,27
3013,6,0
3014,10113,9908
3015,107,0
3016,69,0
3017,16995,16984
3018,270,0
3019,303,0
264,5859,0
1170,77,77
1130,35391,0
4012,7119,0
1131,10,2
4013,21,0
1172,115,115
1132,19,1
4015,181,0
1134,2237889,0
4016,7663,0
1135,807,0
1136,1,0
1137,23,9
1138,465023,0
1139,4,0
1090,1,0
1091,10,0
1092,1,0
1010,2,0
5051,21,20
1011,1,0
5093,8,0
5052,8,0
5011,2,0
1093,243,0
1053,137,0
1012,2,0
5053,2383,2359
5012,11602,0
1054,1837,0
1013,2,0
5054,702,675
5013,5639,0
1095,1,0
1096,1,0
1055,1642,0
1014,1058225,0
5014,2324,0
1056,106,2
1015,500,0
5056,5547,5492
5015,1756,0
1057,3751,0
5057,3239,3200
5016,2021,0
1058,615,0
5099,6681,27
5058,404,399
5017,2239,1931
1099,2,0
1059,3,0
5059,34,0
5018,1789,0
5019,907,0
6010,30,0
6011,19,0
6012,21,0
6013,10,0
6014,5044,1440
6015,148,0
6016,59,0
6018,41,0
302,22457,0
1216,18892,0
1217,2,0
1218,25,0
2520,2,0
2523,125,2
2525,575,0
2526,224,0
2527,1099,0
2528,1232,0
4520,1339503,0
4521,445162,0
4522,13240,0
4524,186,0
1602,2690,0
4525,2,1
1603,5,0
1330,2205,40
1331,3178,81
1332,5138,130
1333,7234,242
1334,413,33
3020,59,0
3021,2,0
3022,1,0
3024,5,0
3025,5,3
3028,3,2
501,5,0
503,23493,0
271,5,0
272,4708,0
4601,472195,0
4602,491576,0
4603,20950,0
4604,3887,0
4605,39275,0
4606,612,0
4607,8469,0
4608,184,0
4020,261,0
4609,6090,0
4021,382,0
1180,35099,0
