SERVICE_CLASS-STATE,TARGET_CNT
1051-P,36502
1003-F,326
1301-S,22560
1301-T,804
1051-S,2577
1401-A,100002
1051-T,14
1151-A,1672
1401-F,1
1003-P,10
1302-A,75422
1052-A,32646
1003-S,598
1003-T,46
1052-D,14
1302-F,28
1052-F,178
1151-S,261870
1004-A,10405
1302-P,38971
1052-P,196
1004-F,68
1351-A,565
1302-S,3687
1302-T,1
1052-S,11
1052-T,4
1152-A,479695
1009-A,3136
1152-F,31444
1004-P,1375
1009-D,1
1009-F,1
1004-S,1056681
1004-T,657
1351-P,11
1351-S,34
1005-A,26666
1152-S,14996
1152-T,94
1005-F,130
1005-P,14
1001-A,8157192
1005-S,325
1001-D,117308
1101-A,59360
1005-T,30
1001-F,17935
1101-D,76112
1101-F,17
1006-A,15893
1001-P,138382
1006-D,485
1006-F,7
1001-S,1017539
1001-T,44765
1101-P,56932
1101-S,6995
1101-T,2
1006-P,7098
1002-A,856337
1006-S,34182
1002-D,1107
1102-A,494442
1006-T,3752
1002-F,702
1102-F,1
1007-A,2
1002-P,31025
1301-A,446558
1051-A,351515
1002-S,179938
1301-D,2
1002-T,31499
1051-D,1
1301-F,255
1102-S,25
1051-F,1367
1102-T,9
1003-A,56399
1301-P,87294
