UC_ID,TARGET_CNT,TARGET_VALUE_TOTAL,ADD_UC_CNT,ADD_UC_VALUE_TOTAL
509330,8,1114112,0,0
105401,1837,7942455,0,0
303928,4,10869768192,0,0
253316,13,0,0,0
108601,544,5910589,3,108000
506421,32,112779771904,0,0
302428,5,8500707328,0,0
251907,2,0,0,0
102707,1,0,0,0
250407,86,3741,0,0
109201,1,0,0,0
106904,3,0,0,0
508521,12,28085846016,0,0
511521,1,0,0,0
505825,399,3418793967616,0,0
507021,79,129281196032,0,0
132504,1076,7611629,0,0
304101,3,9243,0,0
504725,55,8031370240,0,0
251007,285,246405,1,6000
510925,50,2094108672,0,0
301406,205,386431,0,0
113704,23,691,0,0
300306,263,207262,0,0
251711,18,22,0,0
301421,205,13690585088,0,0
303506,16,1442,0,0
302006,59,12925,0,0
250211,342,956,0,0
601229,21,64906769408,0,0
300321,262,29787357184,0,0
100814,39,328,1,20
252311,124,1019,0,0
250901,12317,57152017,0,0
302021,59,668205056,0,0
304107,11,46696,0,0
110811,8,884,0,0
250214,342,180,0,0
304121,3,422313984,0,0
501621,2021,7110714299392,0,0
502221,229,2705486754816,0,0
253601,746,933333,0,0
103804,109,140475,0,0
253816,6,11,0,0
301428,10113,3326709809152,0,0
504321,3,943718400,0,0
250907,10202,11310335,0,0
506021,26,7421190144,0,0
303528,16,918847488,0,0
302028,59,3056500736,0,0
253604,759,1069834,0,0
108201,15561,105006874,329,6909000
107604,1,0,0,0
133204,5127,152169747,0,0
300116,17002,4365,10,50
500128,9901,229753880576,0,0
505425,693,2903397683200,0,0
303316,523,2311,0,0
508121,322,50406667264,0,0
301906,303,40515,0,0
160305,5,8820,0,0
300806,5069,6870405,0,0
253607,646,197240,0,0
303317,523,13860,0,0
302506,2,4497,0,0
301006,104,459097,0,0
301021,104,24227151872,0,0
101011,2,0,0,0
250501,12,0,0,0
500621,6957,187851309056,0,0
501221,11602,126286209024,0,0
251101,28,417235,0,0
250504,12,21060,0,0
301928,303,16279339008,0,0
505921,34,426598400,1,52428800
251316,3,0,0,0
300828,5096,5226351624192,0,0
105501,1642,9621102,0,0
253201,310,361136,0,0
506521,1,617472000,0,0
301028,104,79571222528,0,0
302528,5,1216020480,0,0
108701,10,126557,0,0
253416,2,0,0,0
250507,13,25800,0,0
508621,3,15145265152,0,0
132604,1054,6447288,0,0
109301,243,1571356,52,624000
253204,315,338667,0,0
507121,87,141220610048,0,0
104004,1,0,0,0
109516,1,0,0,0
504825,24,472446402560,0,0
251107,19,29704,0,0
301506,107,492128,0,0
300406,6803,3642972,0,0
253207,4669,557691507,0,0
110207,1,8,0,0
302106,2,193,0,0
303606,5,849,0,0
250311,141,1523,1,200
301521,107,18860253184,0,0
601329,10,153804046336,0,0
300421,6713,2468711694336,0,0
100914,23,1145,1,80
501721,2239,70409982496768,0,0
250101,7888,2213370,0,0
251601,29,61920,0,0
253701,41,64235,0,0
103904,1,21000,0,0
253916,918,440839,0,0
301528,107,17568948224,0,0
251604,29,57099,0,0
302128,2,194183168,0,0
303628,5,462487552,0,0
51,7086358,1454510737601600,0,0
507621,1483,5760880230400,0,0
108301,149,2016965,0,0
253704,41,92002,0,0
506121,48,2549006336,0,0
107704,1,0,0,0
133304,7213,131277297,0,0
52,1860767,103395403388100,0,0
250107,7888,188013,0,0
251607,29,15085,0,0
53,7086358,1454510737601600,0,0
303416,5595,11651,0,0
500228,4536,182501998592,0,0
132204,893,4523816,0,0
508221,13,18671449088,0,0
303417,5612,68625,0,0
103007,8117,32172918,0,0
300906,739,1990954,0,0
253707,40,30052,0,0
301106,23,65928,0,0
601829,41,0,0,0
251411,7,9,0,0
301121,23,9035907072,0,0
101111,1,59,0,0
252011,2,16,0,0
500721,23725,2298856079360,0,0
110511,9,32,0,0
501321,5639,974251847680,0,0
251201,7,55639,0,0
126101,46,6507,0,0
253301,13,17777,0,0
300928,750,906956996608,0,0
105601,106,794978,0,0
108801,2634,605986347,0,0
250606,412,126900,0,0
103504,119,115928,0,0
506621,35,170631766016,0,0
253516,17,0,0,0
102907,35,72981,0,0
253304,13,20374,0,0
250621,440,18282061824,0,0
132704,249,1599472,0,0
109616,1,65,0,0
504925,472,1979711488,0,0
117011,77,2601,0,0
251207,7,0,0,0
301606,69,469873,0,0
505125,20,2936012800,0,0
253307,13,52495,0,0
300506,19617,18672099,0,0
302206,1,11,0,0
303706,2,549,0,0
110307,51439,608580731,39,23400000
301621,69,30882775040,0,0
250411,86,350,0,0
300521,19382,13597279977472,0,0
601429,5044,17690567285760,0,0
666821,930,91329429504,0,0
303721,2,52428800,0,0
251011,348,827,1,100
250414,86,92,0,0
251701,18,61529,0,0
501821,868,136312652800,0,0
250201,342,149893,0,0
251916,2,1,0,0
106011,1,0,0,0
104601,702,1854874,0,0
252301,124,358440,0,0
253801,6,10477,0,0
250204,342,404517,0,0
301628,69,20630765568,0,0
302228,1,112951296,0,0
108401,1,10183,0,0
303728,2,0,0,0
506221,64,49452867584,0,0
253804,6,14692,0,0
507721,46,21576581120,0,0
103104,5,2065,0,0
251707,18,4614,0,0
107804,7,11621,2,6000
250207,342,49,0,0
133404,412,10403194,0,0
109001,1,0,0,0
505625,5492,4316725248000,0,0
500328,4656,278257631232,0,0
132304,586,3593492,0,0
508321,379,54279241728,0,0
106704,7,2677,1,2400
504525,7,0,0,0
252307,123,0,0,0
253807,6,1130,0,0
254406,2,0,0,0
250911,12429,0,0,0
301206,54,564544,0,0
300106,16871,2766011,10,3000
109907,2,9000,0,0
254421,2,1992425472,0,0
303306,528,39569,0,0
301221,37,41404727296,0,0
300121,16973,889816323131,10,524288000
303307,529,13403,0,0
601029,30,6511296512,0,0
101211,2,1,0,0
500821,563204,1199995108753408,0,0
105911,3,0,0,0
